Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite,Chrome 140.0.7339.208,Contains the test cases of luma,,09-10-2025 06:31:17,09-10-2025 06:31:34,16.672s,PASSED
,,,,,,,
Test Cases/TC_SignIn,Chrome 140.0.7339.208,,,09-10-2025 06:31:17,09-10-2025 06:31:33,16.243s,PASSED
"DATA BINDING - {""(Default) secti..."":""loginPage"",""(Default) filep..."":""Include/Data Files/login_data.json""}",,,,,,,
Start listener action : beforeTestCase,Chrome 140.0.7339.208,,,09-10-2025 06:31:17,09-10-2025 06:31:27,10.115s,PASSED
try,Chrome 140.0.7339.208,,,09-10-2025 06:31:28,09-10-2025 06:31:33,5.226s,PASSED
Start listener action : closeTheBrowser,Chrome 140.0.7339.208,,,09-10-2025 06:31:33,09-10-2025 06:31:33,0.418s,PASSED
