Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RegisterSignIN,Chrome 141.0.7390.55,,,07-10-2025 12:15:06,07-10-2025 12:15:29,23.346s,PASSED
,,,,,,,
Test Cases/TC_SignIn,Chrome 141.0.7390.55,,,07-10-2025 12:15:07,07-10-2025 12:15:29,22.467s,PASSED
"DATA BINDING - {""(Default) secti..."":""loginPage"",""(Default) filep..."":""Include/Data Files/login_data.json""}",,,,,,,
Start listener action : beforeTestCase,Chrome 141.0.7390.55,,,07-10-2025 12:15:07,07-10-2025 12:15:16,9.130s,PASSED
try,Chrome 141.0.7390.55,,,07-10-2025 12:15:16,07-10-2025 12:15:28,11.863s,PASSED
Start listener action : closeTheBrowser,Chrome 141.0.7390.55,,,07-10-2025 12:15:28,07-10-2025 12:15:29,0.806s,PASSED
