Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DependentTestcase,Chrome 140.0.7339.128,,,14-09-2025 09:39:40,14-09-2025 09:40:16,35.885s,ERROR
,,,,,,,
Test Cases/TC_SignIn,Chrome 140.0.7339.128,,,14-09-2025 09:39:41,14-09-2025 09:40:14,32.639s,FAILED
"DATA BINDING - {""(Default) secti..."":""loginPage"",""(Default) filep..."":""Include/Data Files/login_data.json""}",,,,,,,
Start listener action : beforeTestCase,Chrome 140.0.7339.128,,,14-09-2025 09:39:41,14-09-2025 09:39:55,13.835s,PASSED
try,Chrome 140.0.7339.128,,,14-09-2025 09:39:56,14-09-2025 09:40:11,15.532s,FAILED
catch (Exception e),Chrome 140.0.7339.128,,,14-09-2025 09:40:11,14-09-2025 09:40:12,0.744s,PASSED
Finally,Chrome 140.0.7339.128,,,14-09-2025 09:40:12,14-09-2025 09:40:13,0.983s,PASSED
Start listener action : closeTheBrowser,Chrome 140.0.7339.128,,,14-09-2025 09:40:13,14-09-2025 09:40:14,0.707s,PASSED
,,,,,,,
Test Cases/TC_ChangePassword,Chrome 140.0.7339.128,This testcase checks the change password functionality.,,14-09-2025 09:40:14,14-09-2025 09:40:16,2.028s,ERROR
"DATA BINDING - {""(Default) secti..."":""changePasswordPage"",""(Default) filep..."":""Include/Data Files/login_data.json""}",,,,,,,
Start listener action : beforeTestCase,Chrome 140.0.7339.128,,,14-09-2025 09:40:14,14-09-2025 09:40:14,0.220s,ERROR
"ExtentManager.initReport(""ChangePasswordReport"")",Chrome 140.0.7339.128,,,14-09-2025 09:40:15,14-09-2025 09:40:15,0.011s,PASSED
"ExtentManager.createTest(""Change Password Test"")",Chrome 140.0.7339.128,,,14-09-2025 09:40:15,14-09-2025 09:40:15,0.005s,PASSED
try,Chrome 140.0.7339.128,,,14-09-2025 09:40:15,14-09-2025 09:40:15,0.625s,FAILED
catch (Exception e),Chrome 140.0.7339.128,,,14-09-2025 09:40:15,14-09-2025 09:40:15,0.020s,PASSED
try,Chrome 140.0.7339.128,,,14-09-2025 09:40:15,14-09-2025 09:40:15,0.069s,ERROR
catch (Exception e),Chrome 140.0.7339.128,,,14-09-2025 09:40:15,14-09-2025 09:40:15,0.029s,PASSED
try,Chrome 140.0.7339.128,,,14-09-2025 09:40:15,14-09-2025 09:40:15,0.102s,ERROR
catch (Exception e),Chrome 140.0.7339.128,,,14-09-2025 09:40:15,14-09-2025 09:40:15,0.009s,PASSED
try,Chrome 140.0.7339.128,,,14-09-2025 09:40:15,14-09-2025 09:40:15,0.048s,ERROR
catch (Exception e),Chrome 140.0.7339.128,,,14-09-2025 09:40:15,14-09-2025 09:40:16,0.008s,PASSED
try,Chrome 140.0.7339.128,,,14-09-2025 09:40:16,14-09-2025 09:40:16,0.059s,PASSED
try,Chrome 140.0.7339.128,,,14-09-2025 09:40:16,14-09-2025 09:40:16,0.065s,ERROR
catch (Exception e),Chrome 140.0.7339.128,,,14-09-2025 09:40:16,14-09-2025 09:40:16,0.012s,PASSED
try,Chrome 140.0.7339.128,,,14-09-2025 09:40:16,14-09-2025 09:40:16,0.044s,ERROR
catch (Exception e),Chrome 140.0.7339.128,,,14-09-2025 09:40:16,14-09-2025 09:40:16,0.007s,PASSED
try,Chrome 140.0.7339.128,,,14-09-2025 09:40:16,14-09-2025 09:40:16,0.046s,ERROR
catch (Exception e),Chrome 140.0.7339.128,,,14-09-2025 09:40:16,14-09-2025 09:40:16,0.021s,PASSED
try,Chrome 140.0.7339.128,,,14-09-2025 09:40:16,14-09-2025 09:40:16,0.032s,PASSED
ExtentManager.flushReport(),Chrome 140.0.7339.128,,,14-09-2025 09:40:16,14-09-2025 09:40:16,0.024s,ERROR
Start listener action : closeTheBrowser,Chrome 140.0.7339.128,,,14-09-2025 09:40:16,14-09-2025 09:40:16,0.018s,PASSED
