Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite,Chrome 140.0.7339.81,Contains the test cases of luma,,04-09-2025 15:46:40,04-09-2025 15:50:07,3m - 26.388s,PASSED
,,,,,,,
Test Cases/RegisterUser,Chrome 140.0.7339.81,,,04-09-2025 15:46:41,04-09-2025 15:47:17,36.019s,PASSED
"DATA BINDING - {""(Default) filep..."":""Include/Data Files/login_data.json"",""(Default) regis..."":""registrarionSucccessPage""}",,,,,,,
Start listener action : openTheBrowser,Chrome 140.0.7339.81,,,04-09-2025 15:46:41,04-09-2025 15:46:57,16.089s,PASSED
"ExtentManager.initReport(""UserRegistrationReport"")",Chrome 140.0.7339.81,,,04-09-2025 15:46:58,04-09-2025 15:46:59,1.094s,PASSED
"ExtentManager.createTest(""User Registration Test"")",Chrome 140.0.7339.81,,,04-09-2025 15:46:59,04-09-2025 15:46:59,0.014s,PASSED
"ExtentManager.logPass(""Navigating to the registration page"")",Chrome 140.0.7339.81,,,04-09-2025 15:46:59,04-09-2025 15:46:59,0.032s,PASSED
pages.HomePage.navigateToRegisterPage(),Chrome 140.0.7339.81,,,04-09-2025 15:46:59,04-09-2025 15:47:03,4.045s,PASSED
"ExtentManager.logPass(""Navigated to the register page"")",Chrome 140.0.7339.81,,,04-09-2025 15:47:03,04-09-2025 15:47:03,0.010s,PASSED
"ExtentManager.logPass(""Entering the details to register an account"")",Chrome 140.0.7339.81,,,04-09-2025 15:47:03,04-09-2025 15:47:03,0.004s,PASSED
"fieldMappings = [[""id"":""input-firstname"", ""jsonKey"":""firstName""], [""id"":""input-lastname"", ""jsonKey"":""lastName""], [""id"":""input-email"", ""jsonKey"":""email""], [""id"":""input-telephone"", ""jsonKey"":""telephone""], [""id"":""input-password"", ""jsonKey"":""password""], [""id"":""input-confirm"", ""jsonKey"":""password""]]",Chrome 140.0.7339.81,,,04-09-2025 15:47:03,04-09-2025 15:47:03,0.003s,PASSED
fieldMappings.each({ -> ... }),Chrome 140.0.7339.81,,,04-09-2025 15:47:03,04-09-2025 15:47:11,7.846s,PASSED
"ExtentManager.logPass(""Details for registering an account have been set successfully"")",Chrome 140.0.7339.81,,,04-09-2025 15:47:11,04-09-2025 15:47:11,0.000s,PASSED
"ExtentManager.logPass(""Navigating to the confirmation page"")",Chrome 140.0.7339.81,,,04-09-2025 15:47:11,04-09-2025 15:47:11,0.008s,PASSED
"pages.UserRegistrationPage.clickOnPolicyCheckBox(findTestObject(""Object Repository/Registration_Page/policy_CheckBox""))",Chrome 140.0.7339.81,,,04-09-2025 15:47:11,04-09-2025 15:47:11,0.788s,PASSED
"pages.UserRegistrationPage.clickOnContinue(findTestObject(""Object Repository/Registration_Page/continue_Button""))",Chrome 140.0.7339.81,,,04-09-2025 15:47:11,04-09-2025 15:47:12,0.707s,PASSED
