Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RegisterSignIN,Chrome 141.0.7390.55,,,06-10-2025 15:38:06,06-10-2025 15:38:27,21.516s,PASSED
,,,,,,,
Test Cases/TC_SignIn,Chrome 141.0.7390.55,,,06-10-2025 15:38:06,06-10-2025 15:38:27,20.864s,PASSED
"DATA BINDING - {""(Default) secti..."":""loginPage"",""(Default) filep..."":""Include/Data Files/login_data.json""}",,,,,,,
Start listener action : beforeTestCase,Chrome 141.0.7390.55,,,06-10-2025 15:38:06,06-10-2025 15:38:16,9.885s,PASSED
try,Chrome 141.0.7390.55,,,06-10-2025 15:38:17,06-10-2025 15:38:27,10.003s,PASSED
Start listener action : closeTheBrowser,Chrome 141.0.7390.55,,,06-10-2025 15:38:27,06-10-2025 15:38:27,0.576s,PASSED
