Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RegisterSignIN,Chrome 140.0.7339.81,,,05-09-2025 15:17:08,05-09-2025 15:18:00,51.958s,PASSED
,,,,,,,
Test Cases/CommentPost,Chrome 140.0.7339.81,This testcase checks the functionality of posting a comment in blog section,,05-09-2025 15:17:10,05-09-2025 15:17:39,29.848s,PASSED
"DATA BINDING - {""(Default) secti..."":""ArticlePage"",""(Default) filep..."":""Include/Data Files/login_data.json""}",,,,,,,
Start listener action : openTheBrowser,Chrome 140.0.7339.81,,,05-09-2025 15:17:10,05-09-2025 15:17:21,11.311s,PASSED
"ExtentManager.initReport(""BlogCommentReport"")",Chrome 140.0.7339.81,,,05-09-2025 15:17:22,05-09-2025 15:17:24,1.848s,PASSED
"ExtentManager.createTest(""Post Comment on Blog Article"")",Chrome 140.0.7339.81,,,05-09-2025 15:17:24,05-09-2025 15:17:24,0.023s,PASSED
try,Chrome 140.0.7339.81,,,05-09-2025 15:17:24,05-09-2025 15:17:29,5.290s,PASSED
try,Chrome 140.0.7339.81,,,05-09-2025 15:17:29,05-09-2025 15:17:33,3.796s,PASSED
try,Chrome 140.0.7339.81,,,05-09-2025 15:17:33,05-09-2025 15:17:38,4.692s,PASSED
try,Chrome 140.0.7339.81,,,05-09-2025 15:17:38,05-09-2025 15:17:38,0.670s,PASSED
ExtentManager.flushReport(),Chrome 140.0.7339.81,,,05-09-2025 15:17:38,05-09-2025 15:17:39,0.769s,PASSED
Start listener action : closeTheBrowser,Chrome 140.0.7339.81,,,05-09-2025 15:17:39,05-09-2025 15:17:39,0.412s,PASSED
,,,,,,,
Test Cases/SignIn,Chrome 140.0.7339.81,,,05-09-2025 15:17:39,05-09-2025 15:18:00,20.607s,PASSED
"DATA BINDING - {""(Default) secti..."":""loginPage"",""(Default) filep..."":""Include/Data Files/login_data.json""}",,,,,,,
Start listener action : openTheBrowser,Chrome 140.0.7339.81,,,05-09-2025 15:17:40,05-09-2025 15:17:49,9.292s,PASSED
"ExtentManager.initReport(""LoginTestReport"")",Chrome 140.0.7339.81,,,05-09-2025 15:17:49,05-09-2025 15:17:49,0.004s,PASSED
"ExtentManager.createTest(""Login Test"")",Chrome 140.0.7339.81,,,05-09-2025 15:17:49,05-09-2025 15:17:49,0.003s,PASSED
try,Chrome 140.0.7339.81,,,05-09-2025 15:17:49,05-09-2025 15:17:52,2.954s,PASSED
try,Chrome 140.0.7339.81,,,05-09-2025 15:17:52,05-09-2025 15:17:59,6.790s,PASSED
try,Chrome 140.0.7339.81,,,05-09-2025 15:17:59,05-09-2025 15:18:00,0.735s,PASSED
ExtentManager.flushReport(),Chrome 140.0.7339.81,,,05-09-2025 15:18:00,05-09-2025 15:18:00,0.171s,PASSED
Start listener action : closeTheBrowser,Chrome 140.0.7339.81,,,05-09-2025 15:18:00,05-09-2025 15:18:00,0.316s,PASSED
