Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DependentTestcase,,,,12-09-2025 15:58:55,12-09-2025 15:59:00,4.787s,ERROR
,,,,,,,
Test Cases/TC_SignIn,,,,12-09-2025 15:58:56,12-09-2025 15:58:59,2.900s,ERROR
"DATA BINDING - {""(Default) secti..."":""loginPage"",""(Default) filep..."":""Include/Data Files/login_data.json""}",,,,,,,
Start listener action : beforeTestCase,,,,12-09-2025 15:58:56,12-09-2025 15:58:56,0.230s,ERROR
try,,,,12-09-2025 15:58:57,12-09-2025 15:58:58,1.456s,ERROR
catch (Exception e),,,,12-09-2025 15:58:58,12-09-2025 15:58:58,0.251s,FAILED
Finally,,,,12-09-2025 15:58:58,12-09-2025 15:58:59,0.520s,PASSED
Start listener action : closeTheBrowser,,,,12-09-2025 15:58:59,12-09-2025 15:58:59,0.014s,PASSED
,,,,,,,
Test Cases/TC_ChangePassword,,This testcase checks the change password functionality.,,12-09-2025 15:58:59,12-09-2025 15:59:00,1.212s,ERROR
"DATA BINDING - {""(Default) secti..."":""changePasswordPage"",""(Default) filep..."":""Include/Data Files/login_data.json""}",,,,,,,
Start listener action : beforeTestCase,,,,12-09-2025 15:58:59,12-09-2025 15:58:59,0.033s,ERROR
"ExtentManager.initReport(""ChangePasswordReport"")",,,,12-09-2025 15:58:59,12-09-2025 15:58:59,0.007s,PASSED
"ExtentManager.createTest(""Change Password Test"")",,,,12-09-2025 15:58:59,12-09-2025 15:58:59,0.005s,PASSED
try,,,,12-09-2025 15:58:59,12-09-2025 15:59:00,0.395s,FAILED
catch (Exception e),,,,12-09-2025 15:59:00,12-09-2025 15:59:00,0.023s,PASSED
try,,,,12-09-2025 15:59:00,12-09-2025 15:59:00,0.036s,ERROR
catch (Exception e),,,,12-09-2025 15:59:00,12-09-2025 15:59:00,0.009s,PASSED
try,,,,12-09-2025 15:59:00,12-09-2025 15:59:00,0.056s,ERROR
catch (Exception e),,,,12-09-2025 15:59:00,12-09-2025 15:59:00,0.012s,PASSED
try,,,,12-09-2025 15:59:00,12-09-2025 15:59:00,0.037s,ERROR
catch (Exception e),,,,12-09-2025 15:59:00,12-09-2025 15:59:00,0.008s,PASSED
try,,,,12-09-2025 15:59:00,12-09-2025 15:59:00,0.092s,PASSED
try,,,,12-09-2025 15:59:00,12-09-2025 15:59:00,0.032s,ERROR
catch (Exception e),,,,12-09-2025 15:59:00,12-09-2025 15:59:00,0.008s,PASSED
try,,,,12-09-2025 15:59:00,12-09-2025 15:59:00,0.015s,ERROR
catch (Exception e),,,,12-09-2025 15:59:00,12-09-2025 15:59:00,0.004s,PASSED
try,,,,12-09-2025 15:59:00,12-09-2025 15:59:00,0.020s,ERROR
catch (Exception e),,,,12-09-2025 15:59:00,12-09-2025 15:59:00,0.009s,PASSED
try,,,,12-09-2025 15:59:00,12-09-2025 15:59:00,0.024s,PASSED
ExtentManager.flushReport(),,,,12-09-2025 15:59:00,12-09-2025 15:59:00,0.037s,ERROR
Start listener action : closeTheBrowser,,,,12-09-2025 15:59:00,12-09-2025 15:59:00,0.023s,PASSED
