Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite,,Contains the test cases of luma,,08-09-2025 15:58:20,08-09-2025 15:58:24,3.505s,ERROR
,,,,,,,
Test Cases/TC_SignIn_Success,,,,08-09-2025 15:58:21,08-09-2025 15:58:23,2.465s,FAILED
"DATA BINDING - {""(Default) secti..."":""loginPage"",""(Default) filep..."":""Include/Data Files/login_data.json""}",,,,,,,
try,,,,08-09-2025 15:58:21,08-09-2025 15:58:23,1.452s,FAILED
catch (Exception e),,,,08-09-2025 15:58:23,08-09-2025 15:58:23,0.124s,FAILED
Finally,,,,08-09-2025 15:58:23,08-09-2025 15:58:23,0.418s,PASSED
Start listener action : closeTheBrowser,,,,08-09-2025 15:58:23,08-09-2025 15:58:23,0.019s,PASSED
,,,,,,,
Test Cases/TC_AddToCart,,This testcase checks the functionality of add to cart functionality,,08-09-2025 15:58:23,08-09-2025 15:58:24,0.374s,ERROR
"DATA BINDING - {""(Default) categ..."":"" Components"",""(Default) order..."":""OrderPlacedPage"",""(Default) filep..."":""Include/Data Files/login_data.json"",""(Default) cartP..."":""CartPage""}",,,,,,,
Start listener action : closeTheBrowser,,,,08-09-2025 15:58:24,08-09-2025 15:58:24,0.006s,PASSED
