Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DependentTestcase,Chrome 140.0.7339.128,,,12-09-2025 14:54:29,12-09-2025 14:55:02,32.835s,ERROR
,,,,,,,
Test Cases/TC_SignIn,Chrome 140.0.7339.128,,,12-09-2025 14:54:30,12-09-2025 14:55:00,29.759s,FAILED
"DATA BINDING - {""(Default) secti..."":""loginPage"",""(Default) filep..."":""Include/Data Files/login_data.json""}",,,,,,,
Start listener action : beforeTestCase,Chrome 140.0.7339.128,,,12-09-2025 14:54:30,12-09-2025 14:54:42,12.183s,PASSED
try,Chrome 140.0.7339.128,,,12-09-2025 14:54:43,12-09-2025 14:54:58,14.922s,FAILED
catch (Exception e),Chrome 140.0.7339.128,,,12-09-2025 14:54:58,12-09-2025 14:54:58,0.493s,PASSED
Finally,Chrome 140.0.7339.128,,,12-09-2025 14:54:58,12-09-2025 14:54:59,0.985s,PASSED
Start listener action : closeTheBrowser,Chrome 140.0.7339.128,,,12-09-2025 14:54:59,12-09-2025 14:55:00,0.524s,PASSED
,,,,,,,
Test Cases/TC_ChangePassword,Chrome 140.0.7339.128,This testcase checks the change password functionality.,,12-09-2025 14:55:00,12-09-2025 14:55:02,2.144s,ERROR
"DATA BINDING - {""(Default) secti..."":""changePasswordPage"",""(Default) filep..."":""Include/Data Files/login_data.json""}",,,,,,,
Start listener action : beforeTestCase,Chrome 140.0.7339.128,,,12-09-2025 14:55:00,12-09-2025 14:55:00,0.300s,ERROR
"ExtentManager.initReport(""ChangePasswordReport"")",Chrome 140.0.7339.128,,,12-09-2025 14:55:01,12-09-2025 14:55:01,0.012s,PASSED
"ExtentManager.createTest(""Change Password Test"")",Chrome 140.0.7339.128,,,12-09-2025 14:55:01,12-09-2025 14:55:01,0.002s,PASSED
try,Chrome 140.0.7339.128,,,12-09-2025 14:55:01,12-09-2025 14:55:01,0.581s,FAILED
catch (Exception e),Chrome 140.0.7339.128,,,12-09-2025 14:55:01,12-09-2025 14:55:01,0.005s,PASSED
try,Chrome 140.0.7339.128,,,12-09-2025 14:55:01,12-09-2025 14:55:01,0.040s,ERROR
catch (Exception e),Chrome 140.0.7339.128,,,12-09-2025 14:55:01,12-09-2025 14:55:01,0.006s,PASSED
try,Chrome 140.0.7339.128,,,12-09-2025 14:55:01,12-09-2025 14:55:01,0.072s,ERROR
catch (Exception e),Chrome 140.0.7339.128,,,12-09-2025 14:55:01,12-09-2025 14:55:01,0.015s,PASSED
try,Chrome 140.0.7339.128,,,12-09-2025 14:55:01,12-09-2025 14:55:01,0.060s,ERROR
catch (Exception e),Chrome 140.0.7339.128,,,12-09-2025 14:55:01,12-09-2025 14:55:01,0.004s,PASSED
try,Chrome 140.0.7339.128,,,12-09-2025 14:55:01,12-09-2025 14:55:01,0.111s,PASSED
try,Chrome 140.0.7339.128,,,12-09-2025 14:55:01,12-09-2025 14:55:01,0.036s,ERROR
catch (Exception e),Chrome 140.0.7339.128,,,12-09-2025 14:55:01,12-09-2025 14:55:01,0.018s,PASSED
try,Chrome 140.0.7339.128,,,12-09-2025 14:55:01,12-09-2025 14:55:02,0.033s,ERROR
catch (Exception e),Chrome 140.0.7339.128,,,12-09-2025 14:55:02,12-09-2025 14:55:02,0.013s,PASSED
try,Chrome 140.0.7339.128,,,12-09-2025 14:55:02,12-09-2025 14:55:02,0.088s,ERROR
catch (Exception e),Chrome 140.0.7339.128,,,12-09-2025 14:55:02,12-09-2025 14:55:02,0.010s,PASSED
try,Chrome 140.0.7339.128,,,12-09-2025 14:55:02,12-09-2025 14:55:02,0.067s,PASSED
ExtentManager.flushReport(),Chrome 140.0.7339.128,,,12-09-2025 14:55:02,12-09-2025 14:55:02,0.086s,ERROR
Start listener action : closeTheBrowser,Chrome 140.0.7339.128,,,12-09-2025 14:55:02,12-09-2025 14:55:02,0.012s,PASSED
