Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GraphQL_API,,,,25-09-2025 19:00:47,25-09-2025 19:00:59,12.241s,ERROR
,,,,,,,
Test Cases/API_Testing/GraphQL_API_Testing/graphql_Put_api,,,,25-09-2025 19:00:47,25-09-2025 19:00:51,4.241s,PASSED
"DATA BINDING - {""(Default) graph..."":""graphQL"",""(Default) schem..."":""Include/Data Files/MasterSchema.json"",""(Default) apiBa..."":""apiBaseUrl""}",,,,,,,
Start listener action : beforeTestCase,,,,25-09-2025 19:00:47,25-09-2025 19:00:47,0.135s,PASSED
"logInfo(""Sending GraphQL mutation to update post with title and body"")",,,,25-09-2025 19:00:48,25-09-2025 19:00:48,0.012s,PASSED
"query = ""
mutation UpdatePost($input: UpdatePostInput!, $id: ID!) {
  updatePost(id: $id, input: $input) {
    id
    title
    body
  }
}
""",,,,25-09-2025 19:00:48,25-09-2025 19:00:48,0.003s,PASSED
"variables = [""id"":1, ""input"":[""title"":""A Very Captivating Post Title"", ""body"":""Some interesting content.""]]",,,,25-09-2025 19:00:48,25-09-2025 19:00:48,0.003s,PASSED
"headers = [""Content-Type"":""application/json""]",,,,25-09-2025 19:00:48,25-09-2025 19:00:48,0.004s,PASSED
"baseUrl = GlobalAccessor.getProfileVariable(graphQL, apiBaseUrl)",,,,25-09-2025 19:00:48,25-09-2025 19:00:48,0.130s,PASSED
"response = ApiKeywords.sendGraphQL(baseUrl, query, variables, headers)",,,,25-09-2025 19:00:48,25-09-2025 19:00:51,3.316s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-09-2025 19:00:51,25-09-2025 19:00:51,0.021s,PASSED
"logInfo(""GraphQL response status code verified as 200"")",,,,25-09-2025 19:00:51,25-09-2025 19:00:51,0.005s,PASSED
responseBody = response.getResponseBodyContent(),,,,25-09-2025 19:00:51,25-09-2025 19:00:51,0.010s,PASSED
json = JsonSlurper().parseText(responseBody),,,,25-09-2025 19:00:51,25-09-2025 19:00:51,0.016s,PASSED
logInfo(Updated Post ID: $json.data.updatePost.id),,,,25-09-2025 19:00:51,25-09-2025 19:00:51,0.015s,PASSED
logInfo(Updated Post Title: $json.data.updatePost.title),,,,25-09-2025 19:00:51,25-09-2025 19:00:51,0.008s,PASSED
logInfo(Updated Post Body: $json.data.updatePost.body),,,,25-09-2025 19:00:51,25-09-2025 19:00:51,0.003s,PASSED
"validateJsonAgainstSchema(responseBody, JsonOutput.toJson(JsonFileReader.getSectionData(""graphQL_Patch"", schemaFilePath)))",,,,25-09-2025 19:00:51,25-09-2025 19:00:51,0.134s,PASSED
"markPassed(""GraphQL updatePost response schema validation passed"")",,,,25-09-2025 19:00:51,25-09-2025 19:00:51,0.011s,PASSED
Start listener action : closeTheBrowser,,,,25-09-2025 19:00:51,25-09-2025 19:00:51,0.119s,PASSED
,,,,,,,
Test Cases/API_Testing/GraphQL_API_Testing/graphql_Post_api,,,,25-09-2025 19:00:51,25-09-2025 19:00:52,0.774s,PASSED
"DATA BINDING - {""(Default) graph..."":""graphQL"",""(Default) schem..."":""Include/Data Files/MasterSchema.json"",""(Default) apiBa..."":""apiBaseUrl""}",,,,,,,
