Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GraphQL_API,,,,01-10-2025 09:36:44,01-10-2025 09:36:54,9.273s,PASSED
,,,,,,,
Test Cases/API_Testing/GraphQL_API_Testing/TC01_graphql_Get_api,,,,01-10-2025 09:36:45,01-10-2025 09:36:50,5.037s,PASSED
"DATA BINDING - {""(Default) graph..."":""graphQL"",""(Default) schem..."":""Include/Data Files/MasterSchema.json"",""(Default) apiBa..."":""apiBaseUrl"",""(Default) JsonF..."":""Include/Data Files/login_data.json""}",,,,,,,
Start listener action : beforeTestCase,,,,01-10-2025 09:36:45,01-10-2025 09:36:46,0.215s,PASSED
"logInfo(""Sending GraphQL query to fetch post by ID"")",,,,01-10-2025 09:36:46,01-10-2025 09:36:46,0.006s,PASSED
"testData = JsonFileReader.getSectionData(""graphQL_getPost"", jsonDataFilePath)",,,,01-10-2025 09:36:46,01-10-2025 09:36:46,0.235s,PASSED
query = QueryBuilder.buildQuery(testData),,,,01-10-2025 09:36:46,01-10-2025 09:36:46,0.032s,PASSED
variables = variables,,,,01-10-2025 09:36:46,01-10-2025 09:36:46,0.003s,PASSED
headers = (testData.headers) ? testData.headers : [:],,,,01-10-2025 09:36:46,01-10-2025 09:36:46,0.006s,PASSED
"profileVariables = loadProfileVariables.loadAllProfileVariables(""graphQL"")",,,,01-10-2025 09:36:46,01-10-2025 09:36:46,0.117s,PASSED
"response = ApiKeywords.sendGraphQL(profileVariables[""apiBaseUrl""], query, variables, headers)",,,,01-10-2025 09:36:46,01-10-2025 09:36:50,3.325s,PASSED
"verifyResponseStatusCode(response, 200)",,,,01-10-2025 09:36:50,01-10-2025 09:36:50,0.035s,PASSED
"logInfo(""GraphQL response status code verified as 200"")",,,,01-10-2025 09:36:50,01-10-2025 09:36:50,0.006s,PASSED
responseBody = response.getResponseBodyContent(),,,,01-10-2025 09:36:50,01-10-2025 09:36:50,0.014s,PASSED
json = JsonSlurper().parseText(responseBody),,,,01-10-2025 09:36:50,01-10-2025 09:36:50,0.004s,PASSED
println(responseBody),,,,01-10-2025 09:36:50,01-10-2025 09:36:50,0.006s,PASSED
logInfo(Post ID: $json.data.post.id),,,,01-10-2025 09:36:50,01-10-2025 09:36:50,0.005s,PASSED
logInfo(Post Title: $json.data.post.title),,,,01-10-2025 09:36:50,01-10-2025 09:36:50,0.007s,PASSED
