Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"logInfo(""Sending GraphQL mutation to update post"")",,,,01-10-2025 09:49:45,01-10-2025 09:49:45,0.002s,PASSED
"testData = JsonFileReader.getSectionData(""graphQL_updatePost"", jsonDataFilePath)",,,,01-10-2025 09:49:45,01-10-2025 09:49:45,0.004s,PASSED
query = QueryBuilder.buildQuery(testData),,,,01-10-2025 09:49:45,01-10-2025 09:49:45,0.002s,PASSED
variables = variables,,,,01-10-2025 09:49:45,01-10-2025 09:49:45,0.000s,PASSED
headers = (testData.headers) ? testData.headers : [:],,,,01-10-2025 09:49:45,01-10-2025 09:49:45,0.000s,PASSED
"baseUrl = GlobalAccessor.getProfileVariable(graphQL, apiBaseUrl)",,,,01-10-2025 09:49:45,01-10-2025 09:49:45,0.006s,PASSED
"response = ApiKeywords.sendGraphQL(baseUrl, query, variables, headers)",,,,01-10-2025 09:49:45,01-10-2025 09:49:45,0.297s,PASSED
"verifyResponseStatusCode(response, 200)",,,,01-10-2025 09:49:45,01-10-2025 09:49:45,0.011s,PASSED
"logInfo(""GraphQL response status code verified as 200"")",,,,01-10-2025 09:49:45,01-10-2025 09:49:45,0.003s,PASSED
responseBody = response.getResponseBodyContent(),,,,01-10-2025 09:49:45,01-10-2025 09:49:45,0.000s,PASSED
json = JsonSlurper().parseText(responseBody),,,,01-10-2025 09:49:45,01-10-2025 09:49:45,0.001s,PASSED
logInfo(Updated Post ID: $json.data.updatePost.id),,,,01-10-2025 09:49:45,01-10-2025 09:49:45,0.002s,PASSED
logInfo(Updated Post Title: $json.data.updatePost.title),,,,01-10-2025 09:49:45,01-10-2025 09:49:45,0.001s,PASSED
"SchemaValidator.validateJsonWithSchema(responseBody, JsonOutput.toJson(JsonFileReader.getSectionData(""graphQL_Patch"", schemaFilePath)))",,,,01-10-2025 09:49:45,01-10-2025 09:49:45,0.023s,FAILED
"markPassed(""GraphQL updatePost response schema validation passed"")",,,,01-10-2025 09:49:45,01-10-2025 09:49:45,0.005s,PASSED
Start listener action : closeTheBrowser,,,,01-10-2025 09:49:45,01-10-2025 09:49:45,0.022s,PASSED
,,,,,,,
Test Cases/API_Testing/GraphQL_API_Testing/TC04_graphql_Delete_api,,,,01-10-2025 09:49:45,01-10-2025 09:49:46,0.599s,PASSED
"DATA BINDING - {""(Default) graph..."":""graphQL"",""(Default) apiBa..."":""apiBaseUrl"",""(Default) JsonF..."":""Include/Data Files/login_data.json""}",,,,,,,
Start listener action : beforeTestCase,,,,01-10-2025 09:49:45,01-10-2025 09:49:45,0.007s,PASSED
"logInfo(""Sending GraphQL mutation to delete post by ID"")",,,,01-10-2025 09:49:46,01-10-2025 09:49:46,0.007s,PASSED
"testData = JsonFileReader.getSectionData(""graphQL_deletePost"", jsonDataFilePath)",,,,01-10-2025 09:49:46,01-10-2025 09:49:46,0.006s,PASSED
query = QueryBuilder.buildQuery(testData),,,,01-10-2025 09:49:46,01-10-2025 09:49:46,0.002s,PASSED
variables = variables,,,,01-10-2025 09:49:46,01-10-2025 09:49:46,0.002s,PASSED
headers = (testData.headers) ? testData.headers : [:],,,,01-10-2025 09:49:46,01-10-2025 09:49:46,0.002s,PASSED
"baseUrl = GlobalAccessor.getProfileVariable(graphQL, apiBaseUrl)",,,,01-10-2025 09:49:46,01-10-2025 09:49:46,0.010s,PASSED
"response = ApiKeywords.sendGraphQL(baseUrl, query, variables, headers)",,,,01-10-2025 09:49:46,01-10-2025 09:49:46,0.312s,PASSED
"verifyResponseStatusCode(response, 200)",,,,01-10-2025 09:49:46,01-10-2025 09:49:46,0.013s,PASSED
"logInfo(""GraphQL response status code verified as 200"")",,,,01-10-2025 09:49:46,01-10-2025 09:49:46,0.005s,PASSED
Start listener action : closeTheBrowser,,,,01-10-2025 09:49:46,01-10-2025 09:49:46,0.021s,PASSED
