Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RegisterSignIN,Chrome 141.0.7390.55,,,08-10-2025 10:08:51,08-10-2025 10:09:12,20.997s,PASSED
,,,,,,,
Test Cases/TC_SignIn,Chrome 141.0.7390.55,,,08-10-2025 10:08:51,08-10-2025 10:09:12,20.356s,PASSED
"DATA BINDING - {""(Default) secti..."":""loginPage"",""(Default) filep..."":""Include/Data Files/login_data.json""}",,,,,,,
Start listener action : beforeTestCase,Chrome 141.0.7390.55,,,08-10-2025 10:08:52,08-10-2025 10:09:01,9.719s,PASSED
try,Chrome 141.0.7390.55,,,08-10-2025 10:09:02,08-10-2025 10:09:11,9.704s,PASSED
Start listener action : closeTheBrowser,Chrome 141.0.7390.55,,,08-10-2025 10:09:11,08-10-2025 10:09:12,0.514s,PASSED
