Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DependentTestcase,,,,15-09-2025 16:07:10,15-09-2025 16:07:15,4.670s,ERROR
,,,,,,,
Test Cases/TC_SignIn,,,,15-09-2025 16:07:11,15-09-2025 16:07:14,2.636s,ERROR
"DATA BINDING - {""(Default) secti..."":""loginPage"",""(Default) filep..."":""Include/Data Files/login_data.json""}",,,,,,,
Start listener action : beforeTestCase,,,,15-09-2025 16:07:11,15-09-2025 16:07:12,0.517s,ERROR
try,,,,15-09-2025 16:07:12,15-09-2025 16:07:13,1.116s,ERROR
catch (Exception e),,,,15-09-2025 16:07:13,15-09-2025 16:07:13,0.184s,FAILED
Finally,,,,15-09-2025 16:07:13,15-09-2025 16:07:14,0.412s,PASSED
Start listener action : closeTheBrowser,,,,15-09-2025 16:07:14,15-09-2025 16:07:14,0.015s,PASSED
,,,,,,,
Test Cases/TC_ChangePassword,,This testcase checks the change password functionality.,,15-09-2025 16:07:14,15-09-2025 16:07:15,1.395s,ERROR
"DATA BINDING - {""(Default) secti..."":""changePasswordPage"",""(Default) filep..."":""Include/Data Files/login_data.json""}",,,,,,,
Start listener action : beforeTestCase,,,,15-09-2025 16:07:14,15-09-2025 16:07:14,0.056s,ERROR
"ExtentManager.initReport(""ChangePasswordReport"")",,,,15-09-2025 16:07:14,15-09-2025 16:07:14,0.005s,PASSED
"ExtentManager.createTest(""Change Password Test"")",,,,15-09-2025 16:07:14,15-09-2025 16:07:14,0.005s,PASSED
try,,,,15-09-2025 16:07:14,15-09-2025 16:07:14,0.444s,FAILED
catch (Exception e),,,,15-09-2025 16:07:14,15-09-2025 16:07:14,0.007s,PASSED
try,,,,15-09-2025 16:07:14,15-09-2025 16:07:15,0.055s,ERROR
catch (Exception e),,,,15-09-2025 16:07:15,15-09-2025 16:07:15,0.013s,PASSED
try,,,,15-09-2025 16:07:15,15-09-2025 16:07:15,0.086s,ERROR
catch (Exception e),,,,15-09-2025 16:07:15,15-09-2025 16:07:15,0.015s,PASSED
try,,,,15-09-2025 16:07:15,15-09-2025 16:07:15,0.044s,ERROR
catch (Exception e),,,,15-09-2025 16:07:15,15-09-2025 16:07:15,0.005s,PASSED
try,,,,15-09-2025 16:07:15,15-09-2025 16:07:15,0.036s,PASSED
try,,,,15-09-2025 16:07:15,15-09-2025 16:07:15,0.076s,ERROR
catch (Exception e),,,,15-09-2025 16:07:15,15-09-2025 16:07:15,0.010s,PASSED
try,,,,15-09-2025 16:07:15,15-09-2025 16:07:15,0.024s,ERROR
catch (Exception e),,,,15-09-2025 16:07:15,15-09-2025 16:07:15,0.012s,PASSED
try,,,,15-09-2025 16:07:15,15-09-2025 16:07:15,0.035s,ERROR
catch (Exception e),,,,15-09-2025 16:07:15,15-09-2025 16:07:15,0.012s,PASSED
try,,,,15-09-2025 16:07:15,15-09-2025 16:07:15,0.022s,PASSED
ExtentManager.flushReport(),,,,15-09-2025 16:07:15,15-09-2025 16:07:15,0.021s,ERROR
Start listener action : closeTheBrowser,,,,15-09-2025 16:07:15,15-09-2025 16:07:15,0.010s,PASSED
